申報工廠名稱,申報產品名稱,申報資料是否完整,備註
銨銨有限公司中正廠,"植物蠟，不論已否精製或著色(BC 06266Y0684),植物蠟，不論已否精製或著色(AWBE09388PA037),精製橄欖油及其餾分物(AA 08G97X0746),芝麻油及其餾分物　(AW 09G97M3378),其他固定性植物油脂及其餾分物(CX 09223EK1R5)"," ■是
 □否，原因：",
科毅研究開發股份有限公司,"荷荷巴油及其餾分物(AW 07G97Z0683),其他固定性植物油脂及其餾分物(AA  07G97R3073)"," ■是
 □否，原因：",
曄拓保養品股份有限公司,"蜂蠟（黃蠟），無論已否精製或著色(AW 08471G0242),荷荷巴油及其餾分物(AW 07G97Z0683),其他固定性植物油脂及其餾分物(BC  09234Y5617),其他固定性植物油脂及其餾分物(AW 09131E0857),其他固定性植物油脂及其餾分物(BD  09234Y3480),其他固定性植物油脂及其餾分物(CA 0912900055),其他固定性植物油脂及其餾分物(AW 08131E0961),其他固定性植物油脂及其餾分物(AA 09G97P0865),其他固定性植物油脂及其餾分物(CH 0912900157),其他固定性植物油脂及其餾分物(CG 0827702932),其他固定性植物油脂及其餾分物(AA  07G97R3073),其他固定性植物油脂及其餾分物(AA 06304M3755),氫（硬）化動物油脂及其餾分物，酸價超過(AW  09217T2744),氫（硬）化動物油脂及其餾分物，酸價超過(AWBE09217T1816),氫（硬）化動物油脂及其餾分物，酸價超過(AWBE09217T1372)"," ■是
 □否，原因：",
和康生物科技股份有限公司台南廠,"精製葵花子油及其餾分物(BD 09234Y3294),精製葵花子油及其餾分物(BC05234Z0712),荷荷巴油及其餾分物(AW 09G97U0310),荷荷巴油及其餾分物(AW 08112H5123),其他固定性植物油脂及其餾分物(AWBE09369F0855),其他固定性植物油脂及其餾分物(BC 09234Y4142),其他固定性植物油脂及其餾分物(AA 08G97V1777),其他固定性植物油脂及其餾分物(CX 09223E1WQY),其他固定性植物油脂及其餾分物(CA 0912900055),氫（硬）化植物油脂及其餾分物，酸價不超過０．６(AW 09217T0228),氫化棕櫚油及氫化棕櫚核油，酸價不超過０．６(BE05234Z2232)"," ■是
 □否，原因：",
英象有限公司台南廠,"植物蠟，不論已否精製或著色(AA 07032G2371),植物蠟，不論已否精製或著色(AA07032G2371),植物蠟，不論已否精製或著色(AA09085N0912)"," ■是
 □否，原因：",
大安化學製藥股份有限公司第一廠,精製玉米油及其餾分物(CA 0960511600)," ■是
 □否，原因：",
才德化妝品技研股份有限公司,"蜂蠟（黃蠟），無論已否精製或著色(AWBE08K69S3276),蜂蠟（黃蠟），無論已否精製或著色(AWBC06K69S2122),荷荷巴油及其餾分物(AA08G97P2231),其他固定性植物油脂及其餾分物(CH 0912900157),其他固定性植物油脂及其餾分物(CA 0812900161),其他固定性植物油脂及其餾分物(CG0623505008),氫（硬）化植物油脂及其餾分物，酸價不超過０．６(AW 07217T2082),氫化棕櫚油及氫化棕櫚核油，酸價不超過０．６(DA 09216X0155)"," ■是
 □否，原因：",
欣岱實業股份有限公司,桐油及其餾分物(BE 09171V0036)," ■是
 □否，原因：",
優達樹脂化工股份有限公司官田廠,蓖麻油及其餾分物　(BE09191R0103)," ■是
 □否，原因：",
新生化粧品工廠,氫化棕櫚油及氫化棕櫚核油，酸價不超過０．６(DA 09216X0155)," ■是
 □否，原因：",
清美化學工廠,荷荷巴油及其餾分物(AW 09G97H0700)," ■是
 □否，原因：",
溫士頓醫藥股份有限公司化妝品廠,"精製葵花子油及其餾分物(CX  09223E5HZ9),精製葵花子油及其餾分物(CG 0923506066),精製葵花子油及其餾分物(BD  08 234Y2718),其他固定性植物油脂及其餾分物(CX  09223E1WQY)"," ■是
 □否，原因：",
香普化粧品有限公司,其他固定性植物油脂及其餾分物(AA 09G97E0626)," ■是
 □否，原因：",
美帥化學股份有限公司工廠,"其他可食用動植物油脂混合品或調製品，第１５１６節食用油脂或其餾分物除外　(AW08G97R1149),植物蠟，不論已否精製或著色(AW08G97Y0575),植物蠟，不論已否精製或著色(AA08388PA220),精製葵花子油及其餾分物(BD08234Y2718),其他固定性植物油脂及其餾分物(CG0912900113),其他固定性植物油脂及其餾分物(AA08G97P0660)"," ■是
 □否，原因：",
美帥化學股份有限公司,"其他固定性植物油脂及其餾分物(AW08131E0961),其他固定性植物油脂及其餾分物(AW07131E0951)"," ■是
 □否，原因：",
美麗美生醫有限公司工廠,"氫（硬）化植物油脂及其餾分物，酸價不超過０．６(AW 09217T2744),氫（硬）化植物油脂及其餾分物，酸價不超過０．６(AW 09217T2744)"," ■是
 □否，原因：",
榮華化粧品股份有限公司,"精製棕櫚油及其餾分物　(DA  09102I2612),精製棕櫚油及其餾分物　(DA07102I5578),蓖麻油及其餾分物　(AA  09193Y0857),蓖麻油及其餾分物　(AA? 07193Y1002),蓖麻油及其餾分物　(AA  07193Y1315)"," ■是
 □否，原因：",
國?生技股份有限公司,"荷荷巴油及其餾分物(AW 09G97Z0001),荷荷巴油及其餾分物(AW 08G97Z1193),其他固定性植物油脂及其餾分物(BD 09234Y3294),其他固定性植物油脂及其餾分物(BC 09234Y6125)"," ■是
 □否，原因：",
統一化粧品企業股份有限公司,"氫（硬）化植物油脂及其餾分物，酸價超過０．６(BFCA1019500061),氫（硬）化植物油脂及其餾分物，酸價超過０．６(CF 09550RF864),氫（硬）化植物油脂及其餾分物，酸價超過０．６(BF 0919500272),其他可食用動植物油脂混合品或調製品，第１５１６節食用油脂或其餾分物除外　(AW 08G97H0557),植物蠟，不論已否精製或著色(BD 08171E0098),植物蠟，不論已否精製或著色(CF075507W603),植物蠟，不論已否精製或著色(AWBC05K69E0671),蜂蠟（黃蠟），無論已否精製或著色(BC06133F0061),蓖麻油及其餾分物　(DA 08216W0587),荷荷巴油及其餾分物(AW  08G97Z1193),其他固定性植物油脂及其餾分物(CG 0817700212),其他固定性植物油脂及其餾分物(AW 07G97V1553),其他固定性植物油脂及其餾分物(CG 0617700115),其他固定性植物油脂及其餾分物(BC 06205A1551),其他固定性植物油脂及其餾分物(AA 08G97P2549)"," ■是
 □否，原因：",
台鉅生技股份有限公司一廠,"蜂蠟（黃蠟），無論已否精製或著色(AW/ /06/K69/E1093),荷荷巴油及其餾分物(AW 09G97H0700),荷荷巴油及其餾分物(AA 08G97P2231?),其他固定性植物油脂及其餾分物(CH 0912900157),其他固定性植物油脂及其餾分物(BF CA 0905100069),其他固定性植物油脂及其餾分物(AW? 06F12A3368),其他固定性植物油脂及其餾分物(AW05131E0227),其他固定性植物油脂及其餾分物(AW/ /07108H0117)"," ■是
 □否，原因：",
將寶實業股份有限公司,"精製椰子（乾椰子肉）油及其餾分物　(BFCA0413300051),其他固定性植物油脂及其餾分物(AA 09G97E0626),其他固定性植物油脂及其餾分物(AA 09G97U0639),其他固定性植物油脂及其餾分物(CX 09223F5VHU),其他固定性植物油脂及其餾分物(CA 0812900378),其他固定性植物油脂及其餾分物(AW 09G97H2008),其他固定性植物油脂及其餾分物(AA 09G97M1243),其他固定性植物油脂及其餾分物(BFCA0413300051),其他固定性植物油脂及其餾分物(CA 0812900378)"," ■是
 □否，原因：",
登基有限公司,"精製橄欖油及其餾分物(BE? 08234Y0025),精製葵花子油及其餾分物(BD 09234Y3480),精製葵花子油及其餾分物(BC09234Y6125)"," ■是
 □否，原因：",
威瑪精密化學科技股份有限公司,"其他固定性植物油脂及其餾分物(CF? 09550NG195),其他固定性植物油脂及其餾分物(AW  08101M0216),其他固定性植物油脂及其餾分物(AA 09G97M1243)"," ■是
 □否，原因：",
,,,
